[2026-03-10 13:26:15] === 会话开始 ===
[2026-03-10 13:26:15] ✅ 添加模板: bolt_reference (110 个特征点)
[2026-03-10 13:26:15] 💾 特征可视化已保存: data/inspection/template_bolt_reference_features.jpg
[2026-03-10 13:26:16] ✅ 摄像头已打开
[2026-03-10 13:27:13] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:14] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:14] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:14] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:14] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:15] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:15] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:15] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:16] 🎯 检测到: bolt_reference | 置信度: 45.45% | 匹配点: 11 | 位置: (87,312) 尺寸: 157x334
[2026-03-10 13:27:16] === 会话结束 ===
[2026-03-10 13:27:54] === 会话开始 ===
[2026-03-10 13:27:54] ✅ 添加模板: 1 (1810 个特征点)
[2026-03-10 13:27:54] 💾 特征可视化已保存: data/inspection/template_1_features.jpg
[2026-03-10 13:27:55] ✅ 摄像头已打开
[2026-03-10 13:27:55] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:56] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:56] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:56] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:56] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:57] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:57] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:57] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:57] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:58] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:58] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:58] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:58] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 578 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:59] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:59] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:27:59] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:00] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:00] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:00] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:00] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:01] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:01] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 577 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:02] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 575 | 位置: (249,187) 尺寸: 410x376
[2026-03-10 13:28:03] 🎯 检测到: 1 | 置信度: 98.96% | 匹配点: 576 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:03] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:03] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:04] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:04] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:04] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:04] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:05] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:05] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:05] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:05] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:06] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:06] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:06] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:06] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:07] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:07] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:07] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:08] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:08] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:08] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:08] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:09] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:09] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:09] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:09] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:10] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:10] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:10] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:10] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:11] 🎯 检测到: 1 | 置信度: 97.20% | 匹配点: 286 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:11] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:11] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:12] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:12] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:12] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:12] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:13] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:13] 🎯 检测到: 1 | 置信度: 97.06% | 匹配点: 306 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:13] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:13] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:14] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:14] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:14] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:14] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:15] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:15] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:15] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:16] 🎯 检测到: 1 | 置信度: 97.21% | 匹配点: 287 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:16] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:16] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:16] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:17] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:17] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:17] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:17] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:18] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:18] 🎯 检测到: 1 | 置信度: 99.30% | 匹配点: 575 | 位置: (341,187) 尺寸: 410x376
[2026-03-10 13:28:40] 🎯 检测到: 1 | 置信度: 38.46% | 匹配点: 13 | 位置: (-2852,-1609) 尺寸: 10730x3095
[2026-03-10 13:28:46] 🎯 检测到: 1 | 置信度: 60.00% | 匹配点: 10 | 位置: (800,227) 尺寸: 40x22
[2026-03-10 13:28:46] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:47] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:47] 🎯 检测到: 1 | 置信度: 60.00% | 匹配点: 10 | 位置: (675,174) 尺寸: 71x117
[2026-03-10 13:28:48] 🎯 检测到: 1 | 置信度: 60.00% | 匹配点: 10 | 位置: (675,174) 尺寸: 71x114
[2026-03-10 13:28:48] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:49] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:49] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:49] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:50] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:50] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:50] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:50] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:51] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:51] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:51] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:51] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:52] 🎯 检测到: 1 | 置信度: 63.64% | 匹配点: 11 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:52] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:52] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (680,180) 尺寸: 66x105
[2026-03-10 13:28:53] 🎯 检测到: 1 | 置信度: 61.54% | 匹配点: 13 | 位置: (675,166) 尺寸: 71x122
[2026-03-10 13:28:53] 🎯 检测到: 1 | 置信度: 61.54% | 匹配点: 13 | 位置: (675,166) 尺寸: 71x122
[2026-03-10 13:28:53] 🎯 检测到: 1 | 置信度: 61.54% | 匹配点: 13 | 位置: (675,166) 尺寸: 71x122
[2026-03-10 13:28:53] 🎯 检测到: 1 | 置信度: 61.54% | 匹配点: 13 | 位置: (675,166) 尺寸: 71x122
[2026-03-10 13:28:54] 🎯 检测到: 1 | 置信度: 61.54% | 匹配点: 13 | 位置: (675,166) 尺寸: 71x122
[2026-03-10 13:28:54] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (679,180) 尺寸: 67x105
[2026-03-10 13:28:54] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (679,180) 尺寸: 67x105
[2026-03-10 13:28:54] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (679,180) 尺寸: 67x105
[2026-03-10 13:28:55] 🎯 检测到: 1 | 置信度: 99.06% | 匹配点: 639 | 位置: (443,297) 尺寸: 408x375
[2026-03-10 13:28:55] 🎯 检测到: 1 | 置信度: 98.19% | 匹配点: 607 | 位置: (441,298) 尺寸: 410x376
[2026-03-10 13:28:55] 🎯 检测到: 1 | 置信度: 98.19% | 匹配点: 607 | 位置: (441,298) 尺寸: 410x376
[2026-03-10 13:28:56] 🎯 检测到: 1 | 置信度: 98.19% | 匹配点: 607 | 位置: (441,298) 尺寸: 410x376
[2026-03-10 13:28:56] 🎯 检测到: 1 | 置信度: 98.19% | 匹配点: 607 | 位置: (441,298) 尺寸: 410x376
[2026-03-10 13:28:56] 🎯 检测到: 1 | 置信度: 98.19% | 匹配点: 607 | 位置: (441,298) 尺寸: 410x376
[2026-03-10 13:28:56] 🎯 检测到: 1 | 置信度: 98.19% | 匹配点: 607 | 位置: (441,298) 尺寸: 410x376
[2026-03-10 13:28:57] 🎯 检测到: 1 | 置信度: 98.19% | 匹配点: 607 | 位置: (441,298) 尺寸: 410x376
[2026-03-10 13:28:57] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (679,180) 尺寸: 67x105
[2026-03-10 13:28:57] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (679,180) 尺寸: 67x105
[2026-03-10 13:28:58] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (679,180) 尺寸: 67x105
[2026-03-10 13:28:58] 🎯 检测到: 1 | 置信度: 58.33% | 匹配点: 12 | 位置: (679,180) 尺寸: 67x105
[2026-03-10 13:28:58] 🎯 检测到: 1 | 置信度: 97.98% | 匹配点: 445 | 位置: (486,284) 尺寸: 349x321
[2026-03-10 13:28:58] 🎯 检测到: 1 | 置信度: 98.44% | 匹配点: 643 | 位置: (441,297) 尺寸: 410x376
